A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A274,Utterback 4-6 215 South Maryland St Conrad,B655,Utterback 4-6 School 24 2nd Ave Sw Conrad,0.74189717
A844,White Sulphur Springs HS PO Box C White Sulphur Springs,B687,White Sulphur Springs Elem Sch 209 Central Ave S Wht Sphr Spgs,0.7418637
A586,Melstone School Box 97 Melstone,B439,Melstone 6-8 School Po Box 97 Melstone,0.7410072
A715,Savage High School Box 110 Savage,B574,Savage 6-8 School Po Box 110 Savage,0.7405238
A827,Willow Creek 7-8 PO Box 189 Willow Creek,B488,Plains 7-8 Po Box 549 Plains,0.74008805
A441,Bitterroot Polytech HS 217 Daly Avenue Hamilton,B277,Hamilton High School 327 Fairgrounds Rd Hamilton,0.7397347
A181,Morning Star School PO Box 520 Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.73950493
A710,Saco School Box 298 Saco,B562,Saco 7-8 School 321 Hwy 243 Saco,0.7387606
A57,Ophir 7-8 PO Box 161280 Big Sky,B472,"Opheim 7-8 100 Rock Street, Po Box 108 Opheim",0.73873746
A27,Broadus School Box 500 Broadus,B72,Broadus 7-8 School Po Box 500 Broadus,0.7384834
A30,Ashland School Box 17 Ashland,B18,Ashland Elementary School 8 Old Mission Road Ashland,0.7378861
A526,Knees School 4177 Beaver Slide Rd Carter,B271,Grass Range High School 311 East 2nd Street Grass Range,0.7375425
A185,Whittier School PO Box 520 Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.73706204
A68,Lockwood Primary 1932 US Highway 87 E. Lockwood,B401,Lockwood Primary School 1932 Us Highway 87 E Billings,0.7365838
A377,Fromberg School 319 School Street Fromberg,B397,Linderman Elementary School 312 4th Ave E Polson,0.7350446
A782,Trinity School PO Box 523 Canyon Creek,B16,"Arrowhead School Po Box 37, 1489 East River Rd Pray",0.73503006
A552,Lima High School PO Box 186 Lima,B134,Columbus Middle School Po Box 899 Columbus,0.7344567
A260,Cohagen School PO Box 113 Cohagen,B121,Choteau 7-8 School Po Box 857 Choteau,0.73417425
A436,Hall School 109 West Main Hall,B523,Red Lodge High School 800 North Chambers Red Lodge,0.73369926
A587,Melstone Middle School Box 97 Melstone,B441,Melstone High School Po Box 97 Melstone,0.7326617
A376,Froid High School Box 218 Froid,B237,Froid 7-8 School Po Box 218 Froid,0.7310818
A584,Medicine Lake 7-8 PO Box 265 311 Young St Medicine Lake,B436,Medicine Lake 7-8 School 311 Young St Medicine Lake,0.7303894
A277,Corvallis 7-8 PO Box 700 Corvallis,B137,Corvallis 7-8 School 1045 Main Street Corvallis,0.72835857
A332,Elliston School PO Box 160 Elliston,B323,"Hillcrest Elementary School Po Box 288, 500 B Avenue Ne Harlowton",0.72620475
A169,Birney School PO Box 521 Birney,B62,Bonner School Po Box 1004 Bonner,0.7260233
A667,Garrison School 33 School House Rd Garrison,B464,North Side Elementary School 710 4th Ave N Wolf Point,0.725239
A829,Winifred School Box 109 Winifred,B707,Winifred 6-8 School 507 Main Street Winifred,0.7247021
A371,Frenchtown 6-8 PO Box 117 Frenchtown,B591,Sheridan 7-8 Po Box 586 Sheridan,0.724657
A125,Spring Creek School Box 118 Decker,B67,Box Elder Elementary School Po Box 205 Box Elder,0.72402406
A408,Philipsburg 7-8 PO Box 400 Philipsburg,B486,Philipsburg 7-8 School 407 Schnepel Street Philipsburg,0.7239087
A44,Chester-Joplin-Inverness 7-8 Box 550 Chester,B116,"Chester High School Po Box 550, School And Main Chester",0.7230723
A366,Frazer Elementary PO Box 488 Frazer,B230,Frazer 7-8 School Po Box 488 Frazer,0.72267866
A682,Reed Point Elementary PO Box 338 Reed Point,B527,Reed Point Elementary School 308 Central Ave Reed Point,0.7225951
A674,Ramsay Middle School PO Box 105 Ramsay,B264,Glasgow Middle School 11 Laser Drive Glasgow,0.7222493
A825,Wibaux 7-8 121 F Street N Wibaux,B700,Wibaux 7-8 School Po Box 220 Wibaux,0.72143257
A568,Lustre School 282 Lustre Road Frazer,B416,Lustre Elementary School A.K.A. Lustre School 6 Lustre Grade Ln Lustre,0.71953964
A435,Greycliff School PO Box 65 Greycliff,B258,Gildford Colony Elem School Po Box 138 Gildford,0.7183901
A856,Northern Cheyenne Tribal School PO Box 150 Busby,B240,Frontier 7-8 School Po Box 3043 Wolf Point,0.71807575
A771,Terry School Box 187 Terry,B634,Terry High School 215 E Park Terry,0.71802115
A713,Savage School Box 110 Savage,B574,Savage 6-8 School Po Box 110 Savage,0.71752375
A706,Roy 6-8 Box 9 Roy,B552,Roy 6-8 School Po Box 9 Roy,0.7168067
